FIPS,FIPSTEXT,y12_M085_valuetext,y12_M085_classRange,Acres of Total Cropland as Percent of Land Area in Acres: 2012_valueNumeric,y12_M270_valueText,y12_M270_classRange,Acres of Cropland and Pastureland Treated with Animal Manure as Percent of Total Cropland Acreage_valueNumeric
13127,13127,0.11,Less than 5,0.11,(D),14-May,
13129,13129,14.41,14-May,14.41,42.75,30 - 59,42.75
13131,13131,18.7,15 - 29,18.7,8.15,14-May,8.15
13133,13133,3.34,Less than 5,3.34,68.29,60 or more,68.29
13135,13135,0.76,Less than 5,0.76,12.31,14-May,12.31
13137,13137,5.4,14-May,5.4,98.95,60 or more,98.95
13139,13139,4.87,Less than 5,4.87,105.17,60 or more,105.17
13141,13141,1.6,Less than 5,1.6,10.06,14-May,10.06
13143,13143,2.99,Less than 5,2.99,67.12,60 or more,67.12
13145,13145,2.32,Less than 5,2.32,(D),14-May,
13147,13147,14.56,14-May,14.56,72.06,60 or more,72.06
13149,13149,1.82,Less than 5,1.82,148.16,60 or more,148.16
13151,13151,2.71,Less than 5,2.71,4.7,Less than 5,4.7
13153,13153,9.62,14-May,9.62,21.93,15 - 29,21.93
13155,13155,42.2,30 - 49,42.2,8.27,14-May,8.27
13157,13157,8.13,14-May,8.13,121.2,60 or more,121.2
13159,13159,3.43,Less than 5,3.43,48.47,30 - 59,48.47
13161,13161,21.04,15 - 29,21.04,17.87,15 - 29,17.87
13163,13163,22.18,15 - 29,22.18,24.44,15 - 29,24.44
13165,13165,19.84,15 - 29,19.84,9.9,14-May,9.9
13167,13167,7.76,14-May,7.76,18.77,15 - 29,18.77
13169,13169,2.49,Less than 5,2.49,29.83,15 - 29,29.83
13171,13171,10.24,14-May,10.24,32.22,30 - 59,32.22
13173,13173,16.64,15 - 29,16.64,0.35,Less than 5,0.35
13175,13175,11.75,14-May,11.75,10.16,14-May,10.16
13177,13177,23.15,15 - 29,23.15,(D),Less than 5,
13179,13179,0.19,Less than 5,0.19,1.01,Less than 5,1.01
13181,13181,2.69,Less than 5,2.69,43.64,30 - 59,43.64
13183,13183,1.1,Less than 5,1.1,24.19,15 - 29,24.19
13185,13185,8,14-May,8,0.13,Less than 5,0.13
13187,13187,1.64,Less than 5,1.64,94.67,60 or more,94.67
13189,13189,4.96,Less than 5,4.96,11.32,14-May,11.32
13191,13191,0.36,Less than 5,0.36,(D),Less than 5,
13193,13193,21.02,15 - 29,21.02,8.73,14-May,8.73
13195,13195,10.8,14-May,10.8,73.73,60 or more,73.73
13197,13197,5.64,14-May,5.64,20.41,15 - 29,20.41
13199,13199,4.99,Less than 5,4.99,6.91,14-May,6.91
13201,13201,33.73,30 - 49,33.73,2.39,Less than 5,2.39
13205,13205,35.81,30 - 49,35.81,14.79,14-May,14.79
13207,13207,2.09,Less than 5,2.09,62.31,60 or more,62.31
13209,13209,11.82,14-May,11.82,2.73,Less than 5,2.73
13211,13211,13.51,14-May,13.51,49.65,30 - 59,49.65
13213,13213,8.51,14-May,8.51,24.75,15 - 29,24.75
13215,13215,1.44,Less than 5,1.44,(D),Less than 5,
13217,13217,5.04,14-May,5.04,25.46,15 - 29,25.46
13219,13219,10.75,14-May,10.75,51.56,30 - 59,51.56
13221,13221,6.13,14-May,6.13,63.37,60 or more,63.37
13223,13223,1.21,Less than 5,1.21,19.88,15 - 29,19.88
13225,13225,23.13,15 - 29,23.13,3.6,Less than 5,3.6
13227,13227,2.69,Less than 5,2.69,51.13,30 - 59,51.13
13229,13229,22.08,15 - 29,22.08,1.41,Less than 5,1.41
13231,13231,6.51,14-May,6.51,19.57,15 - 29,19.57
13233,13233,6.87,14-May,6.87,22.46,15 - 29,22.46
13235,13235,27.43,15 - 29,27.43,10.67,14-May,10.67
13237,13237,4.37,Less than 5,4.37,22.55,15 - 29,22.55
13239,13239,2.48,Less than 5,2.48,0,Less than 5,0
13241,13241,1.54,Less than 5,1.54,45.87,30 - 59,45.87
13243,13243,23.6,15 - 29,23.6,3.2,Less than 5,3.2
13245,13245,1.9,Less than 5,1.9,4.69,Less than 5,4.69
13247,13247,1.04,Less than 5,1.04,3.34,Less than 5,3.34
13249,13249,6.66,14-May,6.66,8.75,14-May,8.75
13251,13251,24.95,15 - 29,24.95,11.18,14-May,11.18
13253,13253,41.21,30 - 49,41.21,0.76,Less than 5,0.76
13255,13255,4.04,Less than 5,4.04,9.12,14-May,9.12
13257,13257,4.17,Less than 5,4.17,93.06,60 or more,93.06
13259,13259,6.7,14-May,6.7,0,Less than 5,0
13261,13261,29.28,15 - 29,29.28,5.04,14-May,5.04
13263,13263,1.94,Less than 5,1.94,5.54,14-May,5.54
13265,13265,2.89,Less than 5,2.89,50.51,30 - 59,50.51
13267,13267,16.03,15 - 29,16.03,11.53,14-May,11.53
13269,13269,8.99,14-May,8.99,28.31,15 - 29,28.31
13271,13271,4.93,Less than 5,4.93,6.91,14-May,6.91
13273,13273,34.1,30 - 49,34.1,1.02,Less than 5,1.02
13275,13275,23.42,15 - 29,23.42,5.92,14-May,5.92
13277,13277,30.19,30 - 49,30.19,(D),Less than 5,
13279,13279,13.11,14-May,13.11,4.61,Less than 5,4.61
13281,13281,2,Less than 5,2,11.98,14-May,11.98
13283,13283,7.57,14-May,7.57,1.11,Less than 5,1.11
13285,13285,1.98,Less than 5,1.98,11.4,14-May,11.4
13287,13287,26.01,15 - 29,26.01,9.68,14-May,9.68
13289,13289,6.22,14-May,6.22,(D),30 - 59,
13291,13291,2.97,Less than 5,2.97,28.31,15 - 29,28.31
13293,13293,3.96,Less than 5,3.96,36.71,30 - 59,36.71
13295,13295,9.98,14-May,9.98,44.48,30 - 59,44.48
13297,13297,6.84,14-May,6.84,34.61,30 - 59,34.61
13299,13299,3.24,Less than 5,3.24,5.7,14-May,5.7
13301,13301,5.03,14-May,5.03,35.97,30 - 59,35.97
13303,13303,9.85,14-May,9.85,36.83,30 - 59,36.83
13305,13305,8.66,14-May,8.66,1.16,Less than 5,1.16
13307,13307,16.6,15 - 29,16.6,(D),Less than 5,
13309,13309,6.11,14-May,6.11,1.04,Less than 5,1.04
13311,13311,3.8,Less than 5,3.8,79.85,60 or more,79.85
13313,13313,5.68,14-May,5.68,59.05,30 - 59,59.05
13315,13315,31.1,30 - 49,31.1,1.89,Less than 5,1.89
13317,13317,6.56,14-May,6.56,41.82,30 - 59,41.82
13319,13319,1.67,Less than 5,1.67,27.36,15 - 29,27.36
13321,13321,37.62,30 - 49,37.62,3.35,Less than 5,3.35
15001,15001,2.79,Less than 5,2.79,4.58,Less than 5,4.58
15003,15003,5.78,14-May,5.78,1.83,Less than 5,1.83
15007,15007,7.62,14-May,7.62,0.81,Less than 5,0.81
15009,15009,6.6,14-May,6.6,2.45,Less than 5,2.45
16001,16001,7.93,14-May,7.93,15.02,15 - 29,15.02
16003,16003,2.28,Less than 5,2.28,2.76,Less than 5,2.76
16005,16005,23.05,15 - 29,23.05,1.8,Less than 5,1.8
16007,16007,18.03,15 - 29,18.03,2.56,Less than 5,2.56
16009,16009,16.44,15 - 29,16.44,0.21,Less than 5,0.21
16011,16011,27.58,15 - 29,27.58,2.55,Less than 5,2.55
16013,16013,2.82,Less than 5,2.82,6.5,14-May,6.5
16015,16015,0.25,Less than 5,0.25,8.19,14-May,8.19
16017,16017,2.36,Less than 5,2.36,5.39,14-May,5.39
16019,16019,23.35,15 - 29,23.35,2.08,Less than 5,2.08
16021,16021,5.75,14-May,5.75,0.87,Less than 5,0.87
16023,16023,4.79,Less than 5,4.79,12.26,14-May,12.26
16025,16025,12.02,14-May,12.02,(D),Less than 5,
16027,16027,57.95,50 - 74,57.95,8.49,14-May,8.49
16029,16029,19.08,15 - 29,19.08,2.37,Less than 5,2.37
16031,16031,20.33,15 - 29,20.33,8.73,14-May,8.73
16033,16033,4.65,Less than 5,4.65,0.38,Less than 5,0.38
16035,16035,1.84,Less than 5,1.84,0.47,Less than 5,0.47
16037,16037,1.41,Less than 5,1.41,6.86,14-May,6.86
16039,16039,5.99,14-May,5.99,10.39,14-May,10.39
16041,16041,33.15,30 - 49,33.15,10.3,14-May,10.3
16043,16043,17.42,15 - 29,17.42,0.7,Less than 5,0.7
16045,16045,8.84,14-May,8.84,9.11,14-May,9.11
16047,16047,32.29,30 - 49,32.29,15.15,15 - 29,15.15
16049,16049,3.87,Less than 5,3.87,1.71,Less than 5,1.71
16051,16051,27.3,15 - 29,27.3,6.26,14-May,6.26
16053,16053,38.95,30 - 49,38.95,17.03,15 - 29,17.03
16055,16055,8.08,14-May,8.08,1.23,Less than 5,1.23
16057,16057,36.91,30 - 49,36.91,0.62,Less than 5,0.62
16059,16059,1.7,Less than 5,1.7,5.35,14-May,5.35
16061,16061,51.8,50 - 74,51.8,0.17,Less than 5,0.17
16063,16063,9.44,14-May,9.44,14.74,14-May,14.74
16065,16065,55.74,50 - 74,55.74,1.25,Less than 5,1.25
16067,16067,44.83,30 - 49,44.83,5.66,14-May,5.66
16069,16069,33.42,30 - 49,33.42,0.07,Less than 5,0.07
16071,16071,22.88,15 - 29,22.88,0.77,Less than 5,0.77
16073,16073,2.87,Less than 5,2.87,12.69,14-May,12.69
16075,16075,19.83,15 - 29,19.83,10.19,14-May,10.19
16077,16077,40.24,30 - 49,40.24,0.57,Less than 5,0.57
16079,16079,0.05,Less than 5,0.05,(D),Less than 5,
16081,16081,30.45,30 - 49,30.45,1.25,Less than 5,1.25
16083,16083,22.37,15 - 29,22.37,11.32,14-May,11.32
16085,16085,0.37,Less than 5,0.37,11.07,14-May,11.07
16087,16087,8.55,14-May,8.55,0.94,Less than 5,0.94
17001,17001,53.75,50 - 74,53.75,2.46,Less than 5,2.46
17003,17003,34.37,30 - 49,34.37,0.24,Less than 5,0.24
17005,17005,72.62,50 - 74,72.62,1.98,Less than 5,1.98
17007,17007,70.6,50 - 74,70.6,3.58,Less than 5,3.58
17009,17009,43.7,30 - 49,43.7,4.13,Less than 5,4.13
17011,17011,73.86,50 - 74,73.86,2.02,Less than 5,2.02
17013,17013,29.86,15 - 29,29.86,0.94,Less than 5,0.94
17015,17015,76.87,75 or more,76.87,5.58,14-May,5.58
17017,17017,62.81,50 - 74,62.81,1.01,Less than 5,1.01
17019,17019,92.71,75 or more,92.71,1.03,Less than 5,1.03
17021,17021,77.7,75 or more,77.7,1.27,Less than 5,1.27
17023,17023,71.75,50 - 74,71.75,0.98,Less than 5,0.98
17025,17025,78.49,75 or more,78.49,7.92,14-May,7.92
17027,17027,85.54,75 or more,85.54,8.4,14-May,8.4
17029,17029,75.6,75 or more,75.6,0.73,Less than 5,0.73
17031,17031,1.24,Less than 5,1.24,8.11,14-May,8.11
17033,17033,65.77,50 - 74,65.77,1.3,Less than 5,1.3
17035,17035,64.78,50 - 74,64.78,4.9,Less than 5,4.9
17037,17037,94.92,75 or more,94.92,6,14-May,6
17039,17039,71.77,50 - 74,71.77,0.28,Less than 5,0.28
17041,17041,92.94,75 or more,92.94,1.96,Less than 5,1.96
17043,17043,2.8,Less than 5,2.8,0.26,Less than 5,0.26
17045,17045,81.78,75 or more,81.78,0.51,Less than 5,0.51
17047,17047,61.88,50 - 74,61.88,0.89,Less than 5,0.89
17049,17049,78.94,75 or more,78.94,8.34,14-May,8.34
17051,17051,54.14,50 - 74,54.14,1.48,Less than 5,1.48
17053,17053,95.89,75 or more,95.89,5.38,14-May,5.38
17055,17055,58.37,50 - 74,58.37,1.1,Less than 5,1.1
17057,17057,48.09,30 - 49,48.09,2.74,Less than 5,2.74
17059,17059,82.37,75 or more,82.37,0.08,Less than 5,0.08
17061,17061,67.16,50 - 74,67.16,0.91,Less than 5,0.91
17063,17063,77.01,75 or more,77.01,0.87,Less than 5,0.87
17065,17065,70.19,50 - 74,70.19,0.42,Less than 5,0.42
17067,17067,62.15,50 - 74,62.15,3.08,Less than 5,3.08
17069,17069,14.82,14-May,14.82,2.68,Less than 5,2.68
17071,17071,58.44,50 - 74,58.44,6.05,14-May,6.05
17073,17073,82.92,75 or more,82.92,2.99,Less than 5,2.99
17075,17075,89.25,75 or more,89.25,1.36,Less than 5,1.36
17077,17077,46.27,30 - 49,46.27,1.39,Less than 5,1.39
17079,17079,68.95,50 - 74,68.95,4.1,Less than 5,4.1
17081,17081,47.19,30 - 49,47.19,1.28,Less than 5,1.28
17083,17083,53.34,50 - 74,53.34,1.1,Less than 5,1.1
17085,17085,49.45,30 - 49,49.45,12.41,14-May,12.41
17087,17087,21.92,15 - 29,21.92,2.76,Less than 5,2.76
17089,17089,46.36,30 - 49,46.36,3.44,Less than 5,3.44
17091,17091,75.74,75 or more,75.74,0.3,Less than 5,0.3
17093,17093,60.29,50 - 74,60.29,0.77,Less than 5,0.77
17095,17095,62.96,50 - 74,62.96,2.58,Less than 5,2.58
17097,17097,7.74,14-May,7.74,7.81,14-May,7.81
17099,17099,78.32,75 or more,78.32,1.63,Less than 5,1.63
17101,17101,71.09,50 - 74,71.09,3.31,Less than 5,3.31
17103,17103,75.21,75 or more,75.21,2.29,Less than 5,2.29
17105,17105,94.58,75 or more,94.58,1.95,Less than 5,1.95
17107,17107,86.71,75 or more,86.71,1.15,Less than 5,1.15
17109,17109,67.19,50 - 74,67.19,1.19,Less than 5,1.19
17111,17111,55.06,50 - 74,55.06,3.31,Less than 5,3.31
17113,17113,86.34,75 or more,86.34,0.82,Less than 5,0.82
17115,17115,86.56,75 or more,86.56,0.28,Less than 5,0.28
17117,17117,67.18,50 - 74,67.18,2.47,Less than 5,2.47
17119,17119,60.37,50 - 74,60.37,1.84,Less than 5,1.84
17121,17121,59.22,50 - 74,59.22,1.06,Less than 5,1.06
17123,17123,74.21,50 - 74,74.21,1.45,Less than 5,1.45
17125,17125,76.94,75 or more,76.94,0.33,Less than 5,0.33
17127,17127,54.87,50 - 74,54.87,0.76,Less than 5,0.76
17129,17129,69.52,50 - 74,69.52,0.74,Less than 5,0.74
17131,17131,59.12,50 - 74,59.12,2.36,Less than 5,2.36
17133,17133,68.06,50 - 74,68.06,1.68,Less than 5,1.68
17135,17135,76.99,75 or more,76.99,2.28,Less than 5,2.28
17137,17137,74.81,50 - 74,74.81,1.26,Less than 5,1.26
17139,17139,90.3,75 or more,90.3,0.9,Less than 5,0.9
17141,17141,69.18,50 - 74,69.18,3.97,Less than 5,3.97
17143,17143,53.26,50 - 74,53.26,1.35,Less than 5,1.35
17145,17145,50.9,50 - 74,50.9,1.33,Less than 5,1.33
17147,17147,89.44,75 or more,89.44,0.51,Less than 5,0.51
17149,17149,58.3,50 - 74,58.3,2.02,Less than 5,2.02
17151,17151,18.47,15 - 29,18.47,2.03,Less than 5,2.03
17153,17153,50.77,50 - 74,50.77,0.78,Less than 5,0.78
17155,17155,51.07,50 - 74,51.07,1.86,Less than 5,1.86
17157,17157,61.91,50 - 74,61.91,2.29,Less than 5,2.29
17159,17159,72.62,50 - 74,72.62,1.2,Less than 5,1.2
17161,17161,43.71,30 - 49,43.71,2.64,Less than 5,2.64
17163,17163,54.02,50 - 74,54.02,3,Less than 5,3
17165,17165,48.41,30 - 49,48.41,1.76,Less than 5,1.76
17167,17167,85.63,75 or more,85.63,0.7,Less than 5,0.7
17169,17169,44.51,30 - 49,44.51,1.11,Less than 5,1.11
17171,17171,76.45,75 or more,76.45,0.61,Less than 5,0.61
17173,17173,74.7,50 - 74,74.7,2.03,Less than 5,2.03
17175,17175,86.49,75 or more,86.49,1.3,Less than 5,1.3
17177,17177,87.39,75 or more,87.39,10.99,14-May,10.99
17179,17179,73.19,50 - 74,73.19,2.01,Less than 5,2.01
17181,17181,29.98,15 - 29,29.98,1,Less than 5,1
17183,17183,71.22,50 - 74,71.22,0.72,Less than 5,0.72
17185,17185,66.04,50 - 74,66.04,0.15,Less than 5,0.15
17187,17187,88.15,75 or more,88.15,1.66,Less than 5,1.66
17189,17189,90.46,75 or more,90.46,3.35,Less than 5,3.35
17191,17191,69.76,50 - 74,69.76,0.77,Less than 5,0.77
17193,17193,86.88,75 or more,86.88,0.07,Less than 5,0.07
17195,17195,84.48,75 or more,84.48,5.24,14-May,5.24
17197,17197,41.29,30 - 49,41.29,1.49,Less than 5,1.49
17199,17199,26.82,15 - 29,26.82,0.67,Less than 5,0.67
17201,17201,48.59,30 - 49,48.59,3.7,Less than 5,3.7
17203,17203,86.33,75 or more,86.33,2.87,Less than 5,2.87
18001,18001,85.72,75 or more,85.72,8.07,14-May,8.07
18003,18003,57.41,50 - 74,57.41,7.12,14-May,7.12
18005,18005,58.92,50 - 74,58.92,2.17,Less than 5,2.17
18007,18007,95.1,75 or more,95.1,5.09,14-May,5.09
18009,18009,76.86,75 or more,76.86,2.01,Less than 5,2.01
18011,18011,77.71,75 or more,77.71,3.61,Less than 5,3.61
18013,18013,3.32,Less than 5,3.32,3.82,Less than 5,3.82
18015,18015,79.54,75 or more,79.54,5.82,14-May,5.82
18017,18017,68.83,50 - 74,68.83,3.31,Less than 5,3.31
18019,18019,22.73,15 - 29,22.73,2.56,Less than 5,2.56
18021,18021,60.04,50 - 74,60.04,1.47,Less than 5,1.47
18023,18023,81.62,75 or more,81.62,5.58,14-May,5.58
18025,18025,8.28,14-May,8.28,17.98,15 - 29,17.98
18027,18027,68.89,50 - 74,68.89,15.65,15 - 29,15.65
18029,18029,13.71,14-May,13.71,7.17,14-May,7.17
18031,18031,68.2,50 - 74,68.2,5.33,14-May,5.33
18033,18033,58.92,50 - 74,58.92,5.78,14-May,5.78
18035,18035,63.9,50 - 74,63.9,1.87,Less than 5,1.87
18037,18037,47.55,30 - 49,47.55,30.76,30 - 59,30.76
18039,18039,47.29,30 - 49,47.29,20.58,15 - 29,20.58
18041,18041,46.35,30 - 49,46.35,1.43,Less than 5,1.43
18043,18043,12.93,14-May,12.93,2.55,Less than 5,2.55
18045,18045,75.23,75 or more,75.23,1.4,Less than 5,1.4
18047,18047,34.59,30 - 49,34.59,8.26,14-May,8.26
18049,18049,71.87,50 - 74,71.87,6.88,14-May,6.88
18051,18051,80.23,75 or more,80.23,3.71,Less than 5,3.71
18053,18053,64.7,50 - 74,64.7,1.27,Less than 5,1.27
18055,18055,38.28,30 - 49,38.28,4.37,Less than 5,4.37
18057,18057,47.91,30 - 49,47.91,1.26,Less than 5,1.26
18059,18059,79.95,75 or more,79.95,1.49,Less than 5,1.49
18061,18061,27.42,15 - 29,27.42,4.17,Less than 5,4.17
18063,18063,77.14,75 or more,77.14,1.52,Less than 5,1.52
18065,18065,63.17,50 - 74,63.17,4.18,Less than 5,4.18
18067,18067,71.75,50 - 74,71.75,5.14,14-May,5.14
18069,18069,70.47,50 - 74,70.47,7.05,14-May,7.05
18071,18071,42.92,30 - 49,42.92,4.74,Less than 5,4.74
18073,18073,71.66,50 - 74,71.66,5.4,14-May,5.4
18075,18075,63.62,50 - 74,63.62,8.62,14-May,8.62
18077,18077,26.75,15 - 29,26.75,3.04,Less than 5,3.04
18079,18079,36.38,30 - 49,36.38,3.36,Less than 5,3.36
18081,18081,64.16,50 - 74,64.16,1.7,Less than 5,1.7
18083,18083,92.04,75 or more,92.04,1.16,Less than 5,1.16
18085,18085,64.57,50 - 74,64.57,7.94,14-May,7.94
18087,18087,60.68,50 - 74,60.68,21.24,15 - 29,21.24
18089,18089,38.89,30 - 49,38.89,0.5,Less than 5,0.5
18091,18091,54.66,50 - 74,54.66,4.06,Less than 5,4.06
18093,18093,24.63,15 - 29,24.63,2.93,Less than 5,2.93
18095,18095,66.19,50 - 74,66.19,0.95,Less than 5,0.95
18097,18097,6.32,14-May,6.32,1.9,Less than 5,1.9
18099,18099,64.05,50 - 74,64.05,7.7,14-May,7.7
18101,18101,18.16,15 - 29,18.16,22.1,15 - 29,22.1
18103,18103,66.07,50 - 74,66.07,6.89,14-May,6.89
18105,18105,10.93,14-May,10.93,4.4,Less than 5,4.4
18107,18107,81.94,75 or more,81.94,1.22,Less than 5,1.22
18109,18109,44.16,30 - 49,44.16,2.04,Less than 5,2.04
18111,18111,67.78,50 - 74,67.78,1.66,Less than 5,1.66
18113,18113,57.09,50 - 74,57.09,11.24,14-May,11.24
18115,18115,19.03,15 - 29,19.03,5.4,14-May,5.4
18117,18117,22.31,15 - 29,22.31,7.24,14-May,7.24
18119,18119,25.33,15 - 29,25.33,2.59,Less than 5,2.59
18121,18121,42.49,30 - 49,42.49,2.72,Less than 5,2.72
18123,18123,12.56,14-May,12.56,11.77,14-May,11.77
18125,18125,30.41,30 - 49,30.41,4.01,Less than 5,4.01
18127,18127,40.88,30 - 49,40.88,1.99,Less than 5,1.99
18129,18129,82.27,75 or more,82.27,1.17,Less than 5,1.17
18131,18131,71.02,50 - 74,71.02,3.83,Less than 5,3.83
18133,18133,50.74,50 - 74,50.74,2.43,Less than 5,2.43
18135,18135,74.81,50 - 74,74.81,6.08,14-May,6.08
18137,18137,43.43,30 - 49,43.43,8.33,14-May,8.33
18139,18139,72.24,50 - 74,72.24,4.51,Less than 5,4.51
18141,18141,46.52,30 - 49,46.52,2.5,Less than 5,2.5
18143,18143,31.49,30 - 49,31.49,2.2,Less than 5,2.2
18145,18145,83.83,75 or more,83.83,1.26,Less than 5,1.26
18147,18147,52.19,50 - 74,52.19,9.16,14-May,9.16
18149,18149,58.31,50 - 74,58.31,2.39,Less than 5,2.39
18151,18151,42.81,30 - 49,42.81,5.56,14-May,5.56
18153,18153,52.42,50 - 74,52.42,0.81,Less than 5,0.81
18155,18155,18.35,15 - 29,18.35,4.22,Less than 5,4.22
18157,18157,63.06,50 - 74,63.06,1.23,Less than 5,1.23
18159,18159,83.15,75 or more,83.15,3.67,Less than 5,3.67
18161,18161,61.92,50 - 74,61.92,1.63,Less than 5,1.63
18163,18163,47.23,30 - 49,47.23,1.09,Less than 5,1.09
18165,18165,60.99,50 - 74,60.99,1.35,Less than 5,1.35
18167,18167,39.25,30 - 49,39.25,0.9,Less than 5,0.9
18169,18169,65.51,50 - 74,65.51,7.28,14-May,7.28
18171,18171,67.05,50 - 74,67.05,0.44,Less than 5,0.44
18173,18173,35.95,30 - 49,35.95,5.32,14-May,5.32
18175,18175,43.42,30 - 49,43.42,8.65,14-May,8.65
18177,18177,48.46,30 - 49,48.46,8.48,14-May,8.48
18179,18179,80.24,75 or more,80.24,8.11,14-May,8.11
18181,18181,82.82,75 or more,82.82,6.76,14-May,6.76
18183,18183,56.01,50 - 74,56.01,4.83,Less than 5,4.83
19001,19001,69.04,50 - 74,69.04,3.6,Less than 5,3.6
19003,19003,61.2,50 - 74,61.2,4.15,Less than 5,4.15
19005,19005,45.42,30 - 49,45.42,17.91,15 - 29,17.91
19007,19007,35.14,30 - 49,35.14,3.49,Less than 5,3.49
19009,19009,88.86,75 or more,88.86,8.97,14-May,8.97
19011,19011,83.28,75 or more,83.28,4.74,Less than 5,4.74
19013,19013,75.62,75 or more,75.62,6.65,14-May,6.65
19015,19015,77.43,75 or more,77.43,3.19,Less than 5,3.19
19017,19017,87.02,75 or more,87.02,9.67,14-May,9.67
19019,19019,87.14,75 or more,87.14,11.79,14-May,11.79
19021,19021,90.76,75 or more,90.76,15.33,15 - 29,15.33
19023,19023,89.11,75 or more,89.11,8.9,14-May,8.9
19025,19025,92.5,75 or more,92.5,5.64,14-May,5.64
19027,19027,90.02,75 or more,90.02,13.17,14-May,13.17
19029,19029,66.66,50 - 74,66.66,4.69,Less than 5,4.69
19031,19031,74.33,50 - 74,74.33,4.6,Less than 5,4.6
19033,19033,84.21,75 or more,84.21,5.03,14-May,5.03
19035,19035,78.66,75 or more,78.66,12.78,14-May,12.78
19037,19037,84.03,75 or more,84.03,10.52,14-May,10.52
19039,19039,35.86,30 - 49,35.86,5.32,14-May,5.32
19041,19041,80.56,75 or more,80.56,10.22,14-May,10.22
19043,19043,58.54,50 - 74,58.54,13.89,14-May,13.89
19045,19045,83.66,75 or more,83.66,7.84,14-May,7.84
19047,19047,88.54,75 or more,88.54,7.09,14-May,7.09
19049,19049,71.89,50 - 74,71.89,2.91,Less than 5,2.91
19051,19051,42.06,30 - 49,42.06,8.3,14-May,8.3
19053,19053,37.31,30 - 49,37.31,5.5,14-May,5.5
19055,19055,86.86,75 or more,86.86,20.15,15 - 29,20.15
19057,19057,51.66,50 - 74,51.66,5.09,14-May,5.09
19059,19059,71.27,50 - 74,71.27,6.75,14-May,6.75
19061,19061,57.6,50 - 74,57.6,24.74,15 - 29,24.74
19063,19063,79.69,75 or more,79.69,12.59,14-May,12.59
19065,19065,71.26,50 - 74,71.26,10.42,14-May,10.42
19067,19067,90.86,75 or more,90.86,8.43,14-May,8.43
19069,19069,90.41,75 or more,90.41,12.01,14-May,12.01
19071,19071,77.62,75 or more,77.62,0.95,Less than 5,0.95
19073,19073,89.32,75 or more,89.32,6.49,14-May,6.49
19075,19075,93.75,75 or more,93.75,6.17,14-May,6.17
19077,19077,69.35,50 - 74,69.35,5.32,14-May,5.32
19079,19079,82.66,75 or more,82.66,10.87,14-May,10.87
19081,19081,92.59,75 or more,92.59,11.14,14-May,11.14
19083,19083,84.05,75 or more,84.05,17.73,15 - 29,17.73
19085,19085,76.98,75 or more,76.98,1.62,Less than 5,1.62
19087,19087,79.38,75 or more,79.38,13.63,14-May,13.63
19089,19089,90.22,75 or more,90.22,10.3,14-May,10.3
19091,19091,79.19,75 or more,79.19,5.44,14-May,5.44
19093,19093,84.78,75 or more,84.78,8.17,14-May,8.17
19095,19095,73.39,50 - 74,73.39,5.41,14-May,5.41
19097,19097,52.63,50 - 74,52.63,13.02,14-May,13.02
19099,19099,69.48,50 - 74,69.48,5.25,14-May,5.25
19101,19101,55.04,50 - 74,55.04,3.55,Less than 5,3.55
19103,19103,72.56,50 - 74,72.56,9.31,14-May,9.31
19105,19105,69.42,50 - 74,69.42,11.5,14-May,11.5
19107,19107,64.91,50 - 74,64.91,6.47,14-May,6.47
19109,19109,91.34,75 or more,91.34,10.57,14-May,10.57
19111,19111,52.03,50 - 74,52.03,5.27,14-May,5.27
19113,19113,63.76,50 - 74,63.76,4.81,Less than 5,4.81
19115,19115,54.26,50 - 74,54.26,7.96,14-May,7.96
19117,19117,36.83,30 - 49,36.83,2.62,Less than 5,2.62
19119,19119,88.81,75 or more,88.81,25.18,15 - 29,25.18
19121,19121,51.26,50 - 74,51.26,4.02,Less than 5,4.02
19123,19123,74.97,50 - 74,74.97,8.73,14-May,8.73
19125,19125,56.34,50 - 74,56.34,5.11,14-May,5.11
19127,19127,76.58,75 or more,76.58,5.29,14-May,5.29
19129,19129,65.1,50 - 74,65.1,0.51,Less than 5,0.51
19131,19131,90.85,75 or more,90.85,13.04,14-May,13.04
19133,19133,67.68,50 - 74,67.68,1.61,Less than 5,1.61
19135,19135,40.26,30 - 49,40.26,4.52,Less than 5,4.52
19137,19137,76.43,75 or more,76.43,2.7,Less than 5,2.7
19139,19139,65.42,50 - 74,65.42,6.48,14-May,6.48
19141,19141,75.39,75 or more,75.39,13.5,14-May,13.5
19143,19143,87.5,75 or more,87.5,12.22,14-May,12.22
19145,19145,76.83,75 or more,76.83,2.63,Less than 5,2.63
19147,19147,94.43,75 or more,94.43,12.96,14-May,12.96
19149,19149,86.89,75 or more,86.89,14.89,14-May,14.89
19151,19151,85.94,75 or more,85.94,9.86,14-May,9.86
19153,19153,48.62,30 - 49,48.62,2.82,Less than 5,2.82
19155,19155,79.22,75 or more,79.22,3.32,Less than 5,3.32
19157,19157,76.61,75 or more,76.61,9.6,14-May,9.6
19159,19159,52.17,50 - 74,52.17,5.4,14-May,5.4
19161,19161,90.48,75 or more,90.48,13.41,14-May,13.41
19163,19163,68.68,50 - 74,68.68,9.09,14-May,9.09
19165,19165,91.05,75 or more,91.05,4.99,Less than 5,4.99
19167,19167,89.96,75 or more,89.96,31.27,30 - 59,31.27
19169,19169,76.24,75 or more,76.24,7.18,14-May,7.18
